"Process,Real,User,Sys"
"Sequential,3.754,3.3450000000000002,0.40300000000000002"
"1,6.0430000000000001,3.3319999999999999,0.83399999999999996"
"2,10.459,12.632,1.715"
"4,8.572,17.432,3.848"
"8,12.589,18.969,36.301"



