"Process,Real,User,Sys"
"Sequential,9.233,8.790,0.419"
"1,11.288,8.639,0.814"
"2,23.174,32.315,2.019"
"4,16.871,37.109,4.781"
"8,26.437,36.029,85,321"






