"Process,Real,User,Sys"
"Sequential,9.233,8.790,0.419"
"1,11.552,8.800,0.807"
"2,22.801,32.005,1.957"
"4,16.775,36.950,4.546"
"8,28.292,36.799,84.200"







