"Process,Real,User,Sys"
"Sequential,3.754,3.3450000000000002,0.40300000000000002"
"1,4.583,1.789,0.598"
"2,6.585,6.019,1.293"
"4,6.597,10.112,2.985"
"8,9.960,10.595,31.205"
