"Process,Real,User,Sys"
"Sequential,5.756,5.316,0.424"
"1,8.285,5.658,0.78"
"2,16.109,21.402,1.871"
"4,12.065,25.627,4.247"
"8,20.601,25.597,72.262"





