"Process,Real,User,Sys"
"Sequential,3.754,3.3450000000000002,0.40300000000000002"
"1,5.394,2.608,0.613"
"2,8.763,9.451,1.342"
"4,8.374,14.030,3.071"
"8,11.683,14.679,34.686"
