"Process,Real,User,Sys"
"Sequential,9.233,8.790,0.419"
"1,7.062,4.285,0.643"
"2,12.594,15.120,1.451"
"4,11.278,20.789,3.335"
"8,16.559,21.307,51.788"







